rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L9278	Brc1ccccn1	Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(N)nc1	Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2ccccn2)nc1	105
L8850	COc1ccccc1-c1csc2cnc(Cl)nc12	COP(=O)(Cc1ccc(N)cc1)OC	COc1ccccc1-c1csc2cnc(Nc3ccc(CP(=O)(OC)OC)cc3)nc12	106
L1508	COc1ccc(Oc2nc(Cl)ccc2N2CCCC2)cc1[N+](=O)[O-]	COc1cc(N2CCN(C)CC2)ccc1N	COc1cc(N2CCN(C)CC2)ccc1Nc1ccc(N2CCCC2)c(Oc2ccc(OC)c([N+](=O)[O-])c2)n1	107
L984	CCC[C@H](N[S@](=O)C(C)(C)C)c1cnc(Cl)c(Cl)c1	Cc1ccc(N)cn1	CCC[C@H](N[S@](=O)C(C)(C)C)c1cnc(Nc2ccc(C)nc2)c(Cl)c1	108
L735	Clc1nc(NC2CCCCC2)c2ncn(C3CCCCO3)c2n1	COc1cc(N2CCOCC2)ccc1N	COc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2ncn(C3CCCCO3)c2n1	109
L6771	Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(Cl)nc2sccc12	N#Cc1ccc(N)cc1F	Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)c(F)c2)nc2sccc12	110
L3736	Brc1ccccc1	C[Si](C)(C)CCOC(N)=O	C[Si](C)(C)CCOC(=O)Nc1ccccc1	111
L13311	CNC(=O)c1ccccc1Nc1nc(Cl)nc2c1ccn2S(=O)(=O)c1ccc(C)cc1	Nc1ccccc1	CNC(=O)c1ccccc1Nc1nc(Nc2ccccc2)nc2c1ccn2S(=O)(=O)c1ccc(C)cc1	112
L12574	CC(C)Nc1cc(Cl)nc(-c2ccccc2)c1	Nc1cccc(C(F)(F)F)n1	CC(C)Nc1cc(Nc2cccc(C(F)(F)F)n2)nc(-c2ccccc2)c1	113
L11518	CN(c1ncccc1CNc1nc(Cl)nc2[nH]cc(F)c12)S(C)(=O)=O	Nc1ccc2c(c1)CC(=O)N2	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)nc2[nH]cc(F)c12)S(C)(=O)=O	114
L11339	CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1Nc1cnc(C#N)c(Br)c1	Cc1cc(C)nc(N)c1	Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3NC(=O)OC(C)(C)C)cnc2C#N)c1	115
L9621	C=CC(=O)Nc1cccc(Nc2ncnc(Cl)n2)c1	Nc1ccc(C(=O)N2CCCCC2)cc1	C=CC(=O)Nc1cccc(Nc2ncnc(Nc3ccc(C(=O)N4CCCCC4)cc3)n2)c1	116
L9514	Nc1nnc(Cl)cc1-c1ccccc1	CCOCCN	CCOCCNc1cc(-c2ccccc2)c(N)nn1	117
L8419	Brc1cccc2cccnc12	Nc1cccc2cccnc12	c1cnc2c(Nc3cccc4cccnc34)cccc2c1	118
