rxn_id	ligand_1_name	ligand_1_cas	ligand_1_smiles	startingmat_1_cas	startingmat_1_smiles	startingmat_2_cas	startingmat_2_smiles	product_1_smiles	product_1_yield
AN-054	L-054	321921-71-5	CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C2)C1)[C@]45C[C@H]6C[C@H](C[C@H](C6)C5)C4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	81.5
AN-055	L-055	395116-70-8	C1(CP([C@]23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[C@]56C[C@H]7C[C@H](C[C@H](C7)C6)C5)=CC=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	4
AN-056	L-056	1023330-38-2	CC1(P(C2CCCCC2)C3CCCCC3)C(C4=CC=CC=C4)(C5=CC=CC=C5)C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	18.6
AN-057	L-057	224311-51-7	CC(P(C1=CC=CC=C1C2=CC=CC=C2)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	7
AN-058	L-058	507233-67-2	CC1(O2)CC(O3)(C)OC2(C)CC3(C)P1CCCCCCCCCCCCCC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	3
AN-059	L-059	1805783-60-1	CC(C)C1=C(C2=C(F)C(F)=C(CCCC)C(F)=C2F)C(C(C)C)=CC(C(C)C)=C1C3=CC=CC(OC)=C3P([C@]45C[C@H]6C[C@H](C[C@H](C6)C5)C4)[C@]78C[C@H]9C[C@H](C[C@H](C9)C8)C7	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0.9
AN-060	L-060	13406-29-6	FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)(F)F	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	5.2
AN-061	L-061	894086-00-1	CC(P(C1=CC=NN1C2=C(C3=CC=CC=C3)N(C4=CC=CC=C4)N=C2C5=CC=CC=C5)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	9.6
AN-062	L-062	2565981-02-2	CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC(OC)=C2P3C(C)(C4=CC=CC=C4)CC5(OCCO5)CC3(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	34
AN-063	L-063	1355318-16-9	CC1(C)CC2(OCCO2)CC(C)(C3=CC=CC=C3)P1C4=CC=CC=C4C5=CC(C=CC=C6)=C6C=C5	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.6
AN-064	L-064	91608-15-0	COC(C=C1OC)=CC(OC)=C1P(C2=C(OC)C=C(OC)C=C2OC)C3=C(OC)C=C(OC)C=C3OC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.7
AN-065	L-065	740815-37-6	CC(P(C1=CC(C=CC=C2)=C2N1C3=CC=CC=C3)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.4
AN-066	L-066	2197989-24-3	COC1=CC=C(OC)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C1P(C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)C6CCCCC6	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	8.8
AN-067	L-067	2380310-05-2	CC1=CC=C(OC)C(P2C(C)(C)CC3(OCCO3)CC24CCCCC4)=C1C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.4
AN-068	L-068	4731-65-1	COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	3.4
AN-069	L-069	255837-19-5	CC(C=CC=C1)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	9.5
AN-070	L-070	111982-81-1	C1(CP(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=CC=CC=C4CP(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.9
AN-071	L-071	2380310-03-0	CC(CC1(OCCO1)CC23CCCCC3)(C)P2C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4OC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-072	L-072	164858-78-0	CC(C)[C@H](CO1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	7.2
AN-073	L-073	1021176-69-1	C1(P(C2CCCCC2)C3CCCCC3)=CC=NN1C4=C(C5=CC=CC=C5)N(C6=CC=CC=C6)N=C4C7=CC=CC=C7	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.8
