rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles
L12181	Cc1cc(C(C)(C)O)cc(Cl)n1	COc1ccc(CN)c(OC)c1	COc1ccc(CNc2cc(C(C)(C)O)cc(C)n2)c(OC)c1
L12182	Cc1cc(C)nc(Nc2cc(Br)cnc2C#N)c1	COc1ccc(CN)c(OC)c1	COc1ccc(CNc2cnc(C#N)c(Nc3cc(C)cc(C)n3)c2)c(OC)c1
L12183	Brc1nncc(-c2ccccc2)n1	Nc1ccccc1C1=N[C@@H](c2ccccc2)CO1	c1ccc(-c2cnnc(Nc3ccccc3C3=N[C@@H](c4ccccc4)CO3)n2)cc1
L12184	CC(C)(C)c1cnnc(Cl)n1	CC(C)[C@H]1COC(c2ccccc2N)=N1	CC(C)(C)c1cnnc(Nc2ccccc2C2=N[C@H](Cc3ccccc3)CO2)n1
L12185	Clc1nnc(-c2ccccc2)c(-c2ccccc2)n1	Nc1ccccn1	c1ccc(-c2nnc(Nc3ccccn3)nc2-c2ccccc2)cc1
L12186	CCOC(=O)c1nc2cc(Br)ccc2n2cccc12	C[Si](C)(C)C#Cc1cccc(N)c1	CCOC(=O)c1nc2cc(Nc3cccc(C#C[Si](C)(C)C)c3)ccc2n2cccc12
L12187	O=C(Nc1ccnc(Br)c1)c1c(Cl)cccc1Cl	Nc1ccncn1	O=C(Nc1ccnc(Nc2ccncn2)c1)c1c(Cl)cccc1Cl
L12188	CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1Nc1cnc(C#N)c(Cl)n1	Nc1cccc2cc[nH]c12	CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1Nc1cnc(C#N)c(Nc2cccc3cc[nH]c23)n1
L12189	Fc1ccc(Cl)nc1Cl	N#Cc1ccc(N)cc1	N#Cc1ccc(Nc2nc(Cl)ccc2F)cc1
L12190	Clc1nc(-c2cccc(OCc3cccnc3)c2)c2cc[nH]c2n1	Nc1cccc(OCc2cccnc2)c1	c1cncc(COc2cccc(Nc3nc(-c4cccc(OCc5cccnc5)c4)c4cc[nH]c4n3)c2)c1
L12192	Brc1nncc(-c2ccccc2)n1	Nc1ccccc1C1=N[C@@H]2c3ccccc3C[C@@H]2O1	c1ccc(-c2cnnc(Nc3ccccc3C3=N[C@@H]4c5ccccc5C[C@@H]4O3)n2)cc1
L12193	Clc1nc(-c2ccc3c(c2)OCO3)c2cc[nH]c2n1	Nc1cccc(NC(=O)N2CCCC2)c1	O=C(Nc1cccc(Nc2nc(-c3ccc4c(c3)OCO4)c3cc[nH]c3n2)c1)N1CCCC1
L12194	CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(Cl)c(-c3cccc(C(=O)NC45CC(C4)C5)c3)cc12	NCC(F)(F)F	CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC45CC(C4)C5)c3)cc12
L12196	Clc1ccnc(Cl)n1	Nc1ccccc1C1=N[C@@H](c2ccccc2)CO1	Clc1nccc(Nc2ccccc2C2=N[C@@H](c3ccccc3)CO2)n1
L12197	Clc1ncccn1	Nc1ccccc1C1=N[C@@H]2c3ccccc3C[C@@H]2O1	c1cnc(Nc2ccccc2C2=N[C@@H]3c4ccccc4C[C@@H]3O2)nc1
